time,min_depth,max_depth,failure
1.67582e+07,3.2,3.4,1
1.67645e+07,3.2,3.4,1
1.67663e+07,3.2,3.4,1
1.67699e+07,3.2,3.4,1
1.67708e+07,3.2,3.4,1
1.67807e+07,3.2,3.4,1
1.67816e+07,3.2,3.4,1
1.67825e+07,3.2,3.4,1
1.67834e+07,3.2,3.4,1
1.6787e+07,3.2,3.4,1
1.67888e+07,3.2,3.4,1
1.67897e+07,3.2,3.4,1
1.67906e+07,3.2,3.4,1
1.67915e+07,3.2,3.4,1
1.67924e+07,3.2,3.4,1
1.67942e+07,3.2,3.4,1
1.67951e+07,3.2,3.4,1
1.68077e+07,3.2,3.4,1
1.68086e+07,3.2,3.4,1
1.68671e+07,3.2,3.4,1
1.68707e+07,3.2,3.4,1
1.68779e+07,3.2,3.4,1
1.68788e+07,3.2,3.4,1
1.68797e+07,3.2,3.4,1
1.68806e+07,3.2,3.4,1
1.68824e+07,3.2,3.4,1
1.68833e+07,3.2,3.4,1
1.68842e+07,3.2,3.4,1
1.6886e+07,3.2,3.4,1
1.68869e+07,3.2,3.4,1
1.69256e+07,3.2,3.4,1
1.69265e+07,3.2,3.4,1
1.69328e+07,3.2,3.4,1
1.69337e+07,3.2,3.4,1
1.69346e+07,3.2,3.4,1
1.69382e+07,3.2,3.4,1
1.69391e+07,3.2,3.4,1
1.69643e+07,3.2,3.4,1
1.69652e+07,3.2,3.4,1
1.70264e+07,3.2,3.4,1
1.70291e+07,3.2,3.4,1
1.70309e+07,3.2,3.4,1
1.70327e+07,3.2,3.4,1
1.70336e+07,3.2,3.4,1
1.70345e+07,3.2,3.4,1
1.70354e+07,3.2,3.4,1
1.7039e+07,3.2,3.4,1
1.70399e+07,3.2,3.4,1
1.70408e+07,3.2,3.4,1
1.70435e+07,3.2,3.4,1
1.70444e+07,3.2,3.4,1
1.70453e+07,3.2,3.4,1
1.70633e+07,3.2,3.4,1
1.70651e+07,3.2,3.4,1
1.7066e+07,3.2,3.4,1
1.70696e+07,3.2,3.4,1
1.70705e+07,3.2,3.4,1
1.70714e+07,3.2,3.4,1
1.70723e+07,3.2,3.4,1
1.7075e+07,3.2,3.4,1
1.71344e+07,3.2,3.4,1
1.71362e+07,3.2,3.4,1
1.71371e+07,3.2,3.4,1
1.71389e+07,3.2,3.4,1
1.71398e+07,3.2,3.4,1
1.71407e+07,3.2,3.4,1
1.71533e+07,3.2,3.4,1
1.71542e+07,3.2,3.4,1
1.71551e+07,3.2,3.4,1
1.71731e+07,3.2,3.4,1
1.7174e+07,3.2,3.4,1
